T,PCO,TOF
400.0,0.05,2.0351204829337837e-13
400.0,0.17291666666666666,3.5026616228769397e-13
400.0,0.29583333333333334,3.426497483237251e-13
400.0,0.41875,3.072730689168937e-13
400.0,0.5416666666666667,2.714306530410499e-13
400.0,0.6645833333333334,2.404759378051234e-13
400.0,0.7875000000000001,2.1470555647270784e-13
400.0,0.9104166666666668,1.9334949554201267e-13
400.0,1.0333333333333334,1.7554800857190028e-13
400.0,1.1562500000000002,1.6057135020212074e-13
400.0,1.2791666666666668,1.478435219861053e-13
400.0,1.4020833333333333,1.3691949066485345e-13
400.0,1.5250000000000001,1.2745636174090524e-13
400.0,1.647916666666667,1.1918862328479284e-13
400.0,1.7708333333333335,1.1190894226577461e-13
400.0,1.89375,1.0545386919012339e-13
400.0,2.0166666666666666,9.969323240345785e-14
400.0,2.1395833333333334,9.45223347331416e-14
400.0,2.2625,8.985616244601792e-14
400.0,2.3854166666666665,8.562505881031639e-14
400.0,2.5083333333333333,8.177146375119093e-14
400.0,2.63125,7.824743419414895e-14
400.0,2.7541666666666664,7.501274023665373e-14
400.0,2.877083333333333,7.203339016749556e-14
400.0,3.0,6.92804774865745e-14
435.7142857142857,0.05,3.213472751149777e-11
435.7142857142857,0.17291666666666666,3.209158508286987e-11
435.7142857142857,0.29583333333333334,2.4316580931446376e-11
435.7142857142857,0.41875,1.9053289694401952e-11
435.7142857142857,0.5416666666666667,1.5547522553641485e-11
435.7142857142857,0.6645833333333334,1.3095535178177828e-11
435.7142857142857,0.7875000000000001,1.1298059676640483e-11
435.7142857142857,0.9104166666666668,9.928552336030835e-12
435.7142857142857,1.0333333333333334,8.85226669649236e-12
435.7142857142857,1.1562500000000002,7.984954189600992e-12
435.7142857142857,1.2791666666666668,7.271538469298732e-12
435.7142857142857,1.4020833333333333,6.674606121885114e-12
435.7142857142857,1.5250000000000001,6.167900995336964e-12
435.7142857142857,1.647916666666667,5.73247377423584e-12
435.7142857142857,1.7708333333333335,5.354316259091071e-12
435.7142857142857,1.89375,5.022854830048753e-12
435.7142857142857,2.0166666666666666,4.729961579972325e-12
435.7142857142857,2.1395833333333334,4.4692875379375386e-12
435.7142857142857,2.2625,4.235802233741926e-12
435.7142857142857,2.3854166666666665,1.942775384081478e-12
435.7142857142857,2.5083333333333333,1.854293940325202e-12
435.7142857142857,2.63125,1.7734811221536492e-12
435.7142857142857,2.7541666666666664,1.69938662268872e-12
435.7142857142857,2.877083333333333,1.6312100412487081e-12
435.7142857142857,3.0,1.5682726255354484e-12
471.42857142857144,0.05,1.773422989379664e-09
471.42857142857144,0.17291666666666666,1.0926286976676205e-09
471.42857142857144,0.29583333333333334,7.230648841278772e-10
471.42857142857144,0.41875,5.360219347540888e-10
471.42857142857144,0.5416666666666667,4.250819095062704e-10
471.42857142857144,0.6645833333333334,3.519693371084034e-10
471.42857142857144,0.7875000000000001,3.002347631180955e-10
471.42857142857144,0.9104166666666668,2.6172412686011467e-10
471.42857142857144,1.0333333333333334,2.3195213240498352e-10
471.42857142857144,1.1562500000000002,2.0825218076624307e-10
471.42857142857144,1.2791666666666668,1.8894088905051115e-10
471.42857142857144,1.4020833333333333,1.7290378832056124e-10
471.42857142857144,1.5250000000000001,1.5937396918685943e-10
471.42857142857144,1.647916666666667,1.4780649422108525e-10
471.42857142857144,1.7708333333333335,1.3780357053308997e-10
471.42857142857144,1.89375,1.2906806542610032e-10
471.42857142857144,2.0166666666666666,1.2137354591086716e-10
471.42857142857144,2.1395833333333334,1.1454448283144261e-10
471.42857142857144,2.2625,1.0844269232154399e-10
471.42857142857144,2.3854166666666665,1.0295790293907769e-10
471.42857142857144,2.5083333333333333,9.800106333880503e-11
471.42857142857144,2.63125,9.349946595858203e-11
471.42857142857144,2.7541666666666664,8.939316459023318e-11
471.42857142857144,2.877083333333333,8.563229296653746e-11
471.42857142857144,3.0,8.217501805389763e-11
507.1428571428571,0.05,4.293125624059097e-08
507.1428571428571,0.17291666666666666,1.9518546278041558e-08
507.1428571428571,0.29583333333333334,1.221845780736258e-08
507.1428571428571,0.41875,8.870460322320904e-09
507.1428571428571,0.5416666666666667,6.958612588502828e-09
507.1428571428571,0.6645833333333334,5.723594028931032e-09
507.1428571428571,0.7875000000000001,4.860445327666837e-09
507.1428571428571,0.9104166666666668,4.2233231727338056e-09
507.1428571428571,1.0333333333333334,3.7337790182248085e-09
507.1428571428571,1.1562500000000002,3.345884440311936e-09
507.1428571428571,1.2791666666666668,3.0309698899747926e-09
507.1428571428571,1.4020833333333333,2.770216767506377e-09
507.1428571428571,1.5250000000000001,2.550762906970908e-09
507.1428571428571,1.647916666666667,2.363518727296604e-09
507.1428571428571,1.7708333333333335,2.201879998927355e-09
507.1428571428571,1.89375,2.060929465413028e-09
507.1428571428571,2.0166666666666666,1.9369381828665012e-09
507.1428571428571,2.1395833333333334,1.8270170238907922e-09
507.1428571428571,2.2625,1.7289082103734862e-09
507.1428571428571,2.3854166666666665,1.6407882843755504e-09
507.1428571428571,2.5083333333333333,1.561215714009017e-09
507.1428571428571,2.63125,1.4890054328362598e-09
507.1428571428571,2.7541666666666664,1.4231779902401338e-09
507.1428571428571,2.877083333333333,1.3629232658631506e-09
507.1428571428571,3.0,1.3075644628401246e-09
